2025-08-29T12:47:23.544994: Failed to download video 184: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/184', '-o', 'fcva_videos/videos/video_184.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:25.712774: Failed to download video 185: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/185', '-o', 'fcva_videos/videos/video_185.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:27.730644: Failed to download video 186: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/186', '-o', 'fcva_videos/videos/video_186.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:30.699344: Failed to download video 187: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/187', '-o', 'fcva_videos/videos/video_187.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:32.674888: Failed to download video 188: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/188', '-o', 'fcva_videos/videos/video_188.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:34.635735: Failed to download video 189: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/189', '-o', 'fcva_videos/videos/video_189.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:36.630307: Failed to download video 190: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/190', '-o', 'fcva_videos/videos/video_190.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:38.855357: Failed to download video 191: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/191', '-o', 'fcva_videos/videos/video_191.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:40.867630: Failed to download video 192: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/192', '-o', 'fcva_videos/videos/video_192.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:42.895595: Failed to download video 193: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/193', '-o', 'fcva_videos/videos/video_193.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:45.034479: Failed to download video 194: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/194', '-o', 'fcva_videos/videos/video_194.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:46.995803: Failed to download video 195: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/195', '-o', 'fcva_videos/videos/video_195.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:49.006540: Failed to download video 196: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/196', '-o', 'fcva_videos/videos/video_196.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:51.013619: Failed to download video 197: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/197', '-o', 'fcva_videos/videos/video_197.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:53.277886: Failed to download video 198: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/198', '-o', 'fcva_videos/videos/video_198.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:55.294095: Failed to download video 199: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/199', '-o', 'fcva_videos/videos/video_199.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
